conditions,articles,ads,videos,image link
Hypertension (high blood pressure),https://www.medicalnewstoday.com/articles/150109,,,https://149837791.v2.pressablecdn.com/wp-content/uploads/2020/10/Low-sodium-Diet.png
Asthma,https://www.medicalnewstoday.com/articles/323569,https://www.amazon.in/dp/B0771M94WM/ref=redir_mobile_desktop?_encoding=UTF8&aaxitk=786a48b44cf446af846713d635ab2f6b&content-id=amzn1.sym.df4bf09f-d6a1-4ca3-98bc-ee2a82b34bf9%3Aamzn1.sym.df4bf09f-d6a1-4ca3-98bc-ee2a82b34bf9&hsa_cr_id=0&pd_rd_plhdr=t&pd_rd_r=13ddc24a-d8eb-4f87-b398-59a37590c37e&pd_rd_w=ywwYR&pd_rd_wg=hEuPL&qid=1683972650&ref_=sbx_be_s_sparkle_mcd_asin_0_img&sr=1-1-e0fa1fdd-d857-4087-adda-5bd576b25987&th=1,,
Arthritis,https://www.medicalnewstoday.com/articles/7621,,,
Migraines,https://www.medicalnewstoday.com/articles/148373,,,
Osteoporosis,https://www.medicalnewstoday.com/articles/155646,,,
Chronic obstructive pulmonary disease (COPD),https://www.medicalnewstoday.com/articles/324518,,,
Depression,https://www.medicalnewstoday.com/articles/323599,,,
Anxiety disorders,https://www.medicalnewstoday.com/articles/310353,,,
Gastroesophageal reflux disease (GERD),https://www.medicalnewstoday.com/articles/145869,,,
Cardiovascular disease,https://www.medicalnewstoday.com/articles/272027,,,
Diabetes,https://www.medicalnewstoday.com/articles/323061,,,
High cholesterol,https://www.medicalnewstoday.com/articles/322669,,,
Obesity,https://www.medicalnewstoday.com/articles/323171,,,
Thyroid disorders,https://www.medicalnewstoday.com/articles/323190,,,
Cancer,https://www.medicalnewstoday.com/articles/315396,,,
Autoimmune disorders,https://www.medicalnewstoday.com/articles/159442,,,
Alzheimer's disease,https://www.medicalnewstoday.com/articles/325155,,,
Parkinson's disease,https://www.medicalnewstoday.com/articles/322966,,,
Epilepsy,https://www.medicalnewstoday.com/articles/323921,,,
Sleep apnea,https://www.medicalnewstoday.com/articles/172944,,,
Kidney disease,,,,
Liver disease,,,,
